101,20.223416,1766867936
101,19.990110,1766867937
101,19.757957,1766867938
101,19.728382,1766867939
101,19.673102,1766867940
101,19.453156,1766867941
101,19.291364,1766867942
101,19.407150,1766867943
101,19.202276,1766867944
101,18.990798,1766867945
101,18.942625,1766867946
101,18.979863,1766867947
101,19.116367,1766867948
101,18.995782,1766867949
404,19.819032,1766867950
101,19.211949,1766867950
404,20.017859,1766867951
101,19.411692,1766867951
404,19.954826,1766867952
101,19.655487,1766867952
404,20.183896,1766867953
101,19.661933,1766867953
404,20.045917,1766867954
101,19.669739,1766867954
404,19.837745,1766867955
101,19.691595,1766867955
404,19.643720,1766867956
101,19.524579,1766867956
404,19.611181,1766867957
101,19.322321,1766867957
404,19.542459,1766867958
101,19.182532,1766867958
404,19.679230,1766867959
101,19.019176,1766867959
404,19.467199,1766867960
101,19.132906,1766867960
404,19.541756,1766867961
101,18.905934,1766867961
404,19.478502,1766867962
101,18.983676,1766867962
404,19.485529,1766867963
101,19.019847,1766867963
404,19.597615,1766867964
101,19.110514,1766867964
404,19.434749,1766867965
